id,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
34,Mernda,12 Halliday Rd,3,h,460000.0,SP,Barry,14/10/2017,25.9,3754.0,3.0,2.0,1.0,212.0,100.0,2014.0,Whittlesea City Council,-37.59783,145.08033,Northern Metropolitan,5812.0
35,Reservoir,119 Boldrewood Pde,3,h,930000.0,S,Barry,16/09/2017,12.0,3073.0,3.0,1.0,2.0,735.0,,,Darebin City Council,-37.71491,145.02191000000005,Northern Metropolitan,21650.0
36,Heidelberg West,22 Redwood St,1,h,636000.0,S,Barry,26/07/2016,9.4,3081.0,1.0,1.0,1.0,588.0,,,Banyule City Council,-37.7454,145.0397,Eastern Metropolitan,2674.0
37,Huntingdale,33 Beauford St,3,h,1205000.0,SA,FN,23/09/2017,12.3,3166.0,3.0,2.0,4.0,622.0,0.0,1960.0,Monash City Council,-37.90823,145.10851,Southern Metropolitan,768.0
38,Point Cook,76 Hargrave Av,4,h,663500.0,S,hockingstuart,1/07/2017,14.7,3030.0,,,,,,,Wyndham City Council,,,Western Metropolitan,15542.0
39,Reservoir,8 Allenby Av,2,h,980000.0,S,Stockdale,13/05/2017,11.2,3073.0,,,,,,,Darebin City Council,,,Northern Metropolitan,21650.0
40,Richmond,19/2 New St,2,u,905000.0,S,Nelson,29/07/2017,2.4,3121.0,,,,,,,Yarra City Council,,,Northern Metropolitan,14949.0
41,Avondale Heights,40a Herbert St,3,h,560500.0,S,Nelson,16/04/2016,10.5,3034.0,3.0,1.0,1.0,177.0,,,Moonee Valley City Council,-37.7664,144.8583,Western Metropolitan,4502.0
42,Yarraville,54 Pentland Pde,6,h,2450000.0,VB,Village,29/07/2017,6.3,3013.0,6.0,3.0,2.0,1087.0,388.5,1920.0,Maribyrnong City Council,-37.81038,144.89389,Western Metropolitan,6543.0
43,Brunswick West,47 Everett St,4,h,1250000.0,VB,Nelson,9/09/2017,5.2,3055.0,4.0,2.0,2.0,600.0,180.0,2004.0,Moreland City Council,-37.75465,144.94144,Northern Metropolitan,7082.0
44,Reservoir,1/159 Cheddar Rd,2,u,560000.0,S,RW,19/08/2017,12.0,3073.0,,,,,,,Darebin City Council,,,Northern Metropolitan,21650.0
45,Brunswick,21 Barrow St,4,h,1520000.0,VB,Brad,17/03/2018,5.2,3056.0,4.0,2.0,1.0,348.0,165.0,1890.0,Moreland City Council,-37.76101,144.96948,Northern Metropolitan,11918.0
46,Hadfield,7 Halsbury St,2,h,610000.0,S,Barry,9/12/2017,11.2,3046.0,2.0,1.0,2.0,,77.0,1950.0,Moreland City Council,-37.71329,144.94019,Northern Metropolitan,2606.0
47,Gladstone Park,9 Banks Pl,3,h,742000.0,S,Barry,26/08/2017,12.9,3043.0,3.0,2.0,2.0,375.0,,1975.0,Hume City Council,-37.68415,144.8999,Western Metropolitan,3285.0
48,Hillside,8 Landscape Dr,5,h,760000.0,PI,Brad,9/12/2017,18.0,3037.0,,,,,,,Brimbank City Council,,,Western Metropolitan,5556.0
49,Caulfield South,11/8 Bealiba Rd,2,u,650000.0,VB,hockingstuart,8/10/2016,9.3,3162.0,2.0,1.0,1.0,100.0,,,Glen Eira City Council,-37.8912,145.0289,Southern Metropolitan,5051.0
50,Glenroy,2/27 Morley St,3,u,460000.0,S,Barry,22/08/2016,13.0,3046.0,3.0,2.0,1.0,190.0,,,Moreland City Council,-37.6997,144.9367,Northern Metropolitan,8870.0
51,Bentleigh East,2/96 Castlewood St,3,t,990000.0,S,Branon,17/03/2018,13.8,3165.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969.0
52,Dandenong North,1/30 Boyd St,4,u,617000.0,S,C21,29/07/2017,24.7,3175.0,4.0,3.0,2.0,279.0,,2008.0,Greater Dandenong City Council,-37.96769000000001,145.21732,South-Eastern Metropolitan,8322.0
53,St Kilda,81/3 Alfred Sq,2,u,715000.0,S,hockingstuart,26/08/2017,5.0,3182.0,2.0,1.0,1.0,,,1970.0,Port Phillip City Council,-37.86436,144.97406,Southern Metropolitan,13240.0
54,Preston,23 Lyonsville Av,3,h,1035000.0,S,Nelson,16/09/2017,8.4,3072.0,3.0,1.0,2.0,696.0,,,Darebin City Council,-37.73761,145.02119,Northern Metropolitan,14577.0
55,Richmond,213/253 Bridge Rd,1,u,370000.0,SP,Biggin,8/04/2017,2.6,3121.0,1.0,1.0,1.0,3512.0,,2011.0,Yarra City Council,-37.8183,144.9979,Northern Metropolitan,14949.0
56,South Melbourne,372 Coventry St,2,h,980000.0,VB,Marshall,29/07/2017,1.9,3205.0,2.0,1.0,0.0,64.0,112.0,2000.0,Port Phillip City Council,-37.83326,144.95463999999996,Southern Metropolitan,5943.0
57,Melton South,14 Bridgeford Cr,4,h,410000.0,S,hockingstuart,3/02/2018,29.8,3338.0,4.0,1.0,2.0,583.0,136.0,1975.0,Melton City Council,-37.71357,144.57512,Western Victoria,4718.0
58,Preston,22/2 Arthur St,1,u,300000.0,PI,Nelson,24/09/2016,8.8,3072.0,1.0,1.0,1.0,0.0,67.0,2005.0,Darebin City Council,-37.7441,144.9999,Northern Metropolitan,14577.0
59,Parkdale,28 Keiller Av,5,h,1160000.0,VB,Buxton,6/01/2018,21.5,3195.0,5.0,2.0,1.0,685.0,,,Kingston City Council,-37.98622,145.0903,South-Eastern Metropolitan,5087.0
60,Williamstown,19 Verdon St,4,h,2910000.0,SP,Greg,4/03/2017,8.0,3016.0,4.0,3.0,0.0,338.0,196.0,1890.0,Hobsons Bay City Council,-37.8633,144.8963,Western Metropolitan,6380.0
61,Doncaster,35 Council St,4,h,1550000.0,PI,hockingstuart,9/12/2017,12.4,3108.0,4.0,2.0,4.0,665.0,,,Manningham City Council,-37.78323,145.12983,Eastern Metropolitan,9028.0
62,Moorabbin,6 Bataba St,4,h,1289000.0,S,RT,17/06/2017,14.3,3189.0,4.0,2.0,1.0,532.0,,,Kingston City Council,-37.93686,145.03966,Southern Metropolitan,2555.0
63,Abbotsford,45 William St,2,h,1172500.0,S,Biggin,13/08/2016,2.5,3067.0,2.0,1.0,1.0,195.0,,,Yarra City Council,-37.8084,144.9973,Northern Metropolitan,4019.0
64,Aberfeldie,130A The Boulevard,4,h,2300000.0,VB,Alexkarbon,12/08/2017,7.5,3040.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,1543.0
65,Rosanna,11 Thomson Dr,4,h,1051000.0,SP,Nelson,12/11/2016,11.4,3084.0,4.0,2.0,2.0,651.0,,,Banyule City Council,-37.7338,145.0703,Eastern Metropolitan,3540.0
66,Eltham,4 Onkara Ct,4,h,940000.0,S,Jellis,21/10/2017,18.0,3095.0,4.0,2.0,2.0,877.0,,,Banyule City Council,-37.70893,145.17081000000005,Eastern Metropolitan,6990.0
67,Clifton Hill,4/56 John St,1,u,325000.0,VB,Collins,13/08/2016,3.4,3068.0,1.0,1.0,1.0,0.0,,,Yarra City Council,-37.7873,144.9958,Northern Metropolitan,2954.0
68,North Melbourne,25 Wilson Mw,3,t,872000.0,S,Gary,22/05/2016,2.3,3051.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,6821.0
69,Glen Iris,15 Seaton St,3,h,2152500.0,S,Marshall,3/09/2017,7.3,3146.0,3.0,2.0,2.0,656.0,,1930.0,Boroondara City Council,-37.86521,145.07034,Southern Metropolitan,10412.0
70,Murrumbeena,9b Stewart St,3,u,1160000.0,S,Hodges,27/05/2017,10.1,3163.0,3.0,2.0,2.0,441.0,,,Glen Eira City Council,-37.89706,145.07483,Southern Metropolitan,4442.0
71,Elwood,7/5 Alfriston St,2,u,680000.0,PI,hockingstuart,27/11/2016,7.7,3184.0,2.0,1.0,1.0,0.0,,1960.0,Port Phillip City Council,-37.8753,144.9902,Southern Metropolitan,8989.0
72,Balwyn North,243 Balwyn Rd,2,h,1500000.0,VB,Fletchers,25/11/2017,9.7,3104.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,7809.0
73,Sunshine North,95A Berkshire Rd,4,t,650000.0,SP,Sweeney,22/07/2017,10.5,3020.0,4.0,2.0,1.0,283.0,181.6,2005.0,Brimbank City Council,-37.76508,144.83629,Western Metropolitan,4217.0
74,St Albans,179 William St,4,h,703000.0,S,Barry,19/08/2017,14.0,3021.0,4.0,1.0,,,,,Brimbank City Council,-37.73591,144.80105,Western Metropolitan,14042.0
75,Balwyn North,9 Arama St,3,h,1300000.0,VB,Jellis,27/11/2016,9.2,3104.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,7809.0
76,Hawthorn,6a Scott St,4,h,1650000.0,PI,Jellis,3/09/2016,4.6,3122.0,4.0,2.0,2.0,317.0,210.0,2005.0,Boroondara City Council,-37.8344,145.0422,Southern Metropolitan,11308.0
77,Malvern East,2/919 Dandenong Rd,1,u,350000.0,SP,Thomson,10/12/2016,11.2,3145.0,1.0,1.0,1.0,0.0,117.0,1975.0,Stonnington City Council,-37.8769,145.0471,Southern Metropolitan,8801.0
78,Bentleigh,15A Loranne St,3,t,1350000.0,S,Buxton,3/03/2018,11.4,3204.0,3.0,2.0,1.0,359.0,204.0,2002.0,Glen Eira City Council,-37.92025,145.03482,Southern Metropolitan,6795.0
79,Bayswater,2/1 Orchard Rd,2,h,661000.0,S,Barry,26/08/2017,23.2,3153.0,2.0,2.0,1.0,,103.0,2007.0,Knox City Council,-37.83938,145.26473,Eastern Metropolitan,5030.0
80,Essendon West,10 Beryl St,3,h,1390000.0,S,Nelson,24/06/2017,7.5,3040.0,3.0,1.0,2.0,793.0,,,Moonee Valley City Council,-37.74944,144.88478999999995,Western Metropolitan,588.0
81,Hawthorn East,103 Pleasant Rd,6,h,2200000.0,VB,Jellis,17/06/2017,6.2,3123.0,6.0,3.0,3.0,622.0,,,Boroondara City Council,-37.8351,145.05542,Southern Metropolitan,6482.0
82,Armadale,7 Llaneast St,3,h,1939000.0,S,Jellis,3/12/2016,6.3,3143.0,3.0,2.0,2.0,296.0,150.0,1889.0,Stonnington City Council,-37.8614,145.0274,Southern Metropolitan,4836.0
83,Chadstone,3/3 Mudgee Ct,3,t,753000.0,S,Buxton,27/06/2016,13.6,3148.0,,,,,,,Monash City Council,,,Southern Metropolitan,3582.0
84,Essendon North,1 Dudley St,3,h,1425000.0,S,McGrath,25/02/2017,9.4,3041.0,3.0,2.0,2.0,10100.0,,,Moonee Valley City Council,-37.7376,144.8954,Western Metropolitan,1308.0
85,Moorabbin,51 Clay St,3,h,1008000.0,S,McGrath,27/06/2016,14.6,3189.0,3.0,2.0,1.0,1660.0,160.0,1960.0,Kingston City Council,-37.9354,145.0464,Southern Metropolitan,2555.0
86,Ringwood,3/3 Garden St,3,h,1013000.0,S,Jellis,17/03/2018,19.9,3134.0,3.0,2.0,2.0,313.0,,,Maroondah City Council,-37.82087,145.23869,Eastern Metropolitan,7785.0
87,Strathmore Heights,31 Caravelle Cr,4,h,1270000.0,S,Frank,17/02/2018,8.2,3041.0,4.0,2.0,4.0,535.0,,,Moonee Valley City Council,-37.71016,144.89476000000005,Western Metropolitan,389.0
88,Kings Park,3 Ikara Cl,3,h,560000.0,S,Barry,26/08/2017,14.0,3021.0,3.0,1.0,1.0,565.0,147.0,1970.0,Brimbank City Council,-37.73574,144.77898000000005,Western Metropolitan,2878.0
89,Seaford,1 Coonara Av,3,h,790000.0,SP,O'Brien,7/10/2017,35.4,3198.0,3.0,1.0,2.0,630.0,131.0,1968.0,Frankston City Council,-38.09995,145.12863000000004,South-Eastern Metropolitan,8077.0
90,Mitcham,13 McGhee Av,4,h,1451000.0,S,Ray,14/10/2017,17.2,3132.0,4.0,2.0,2.0,,187.0,1964.0,Whitehorse City Council,-37.81908,145.19785,Eastern Metropolitan,6871.0
91,Heidelberg Heights,2/96 Porter Rd,3,h,740600.0,S,Nelson,4/06/2016,10.5,3081.0,3.0,2.0,2.0,337.0,,,Banyule City Council,-37.7375,145.0586,Eastern Metropolitan,2947.0
92,Coburg North,38 Shore Gr,3,h,1012000.0,S,Nelson,14/10/2017,6.7,3058.0,3.0,1.0,2.0,,149.0,1955.0,Darebin City Council,-37.72939,144.97106000000005,Northern Metropolitan,3445.0
93,Hoppers Crossing,17 Hunter Av,3,h,500000.0,PI,Triwest,3/09/2017,18.4,3029.0,3.0,2.0,2.0,,123.0,1986.0,Wyndham City Council,-37.86963,144.68812,Western Metropolitan,13830.0
94,Malvern East,5/47 Grant St,3,h,1180000.0,S,Marshall,14/10/2017,8.4,3145.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,8801.0
95,Kew,13 Ermington Pl,6,h,2070000.0,S,Nelson,16/09/2017,5.4,3101.0,6.0,4.0,3.0,,229.0,1993.0,Boroondara City Council,-37.80703,145.04085,Southern Metropolitan,10331.0
96,Montmorency,2/38 Station Rd,2,u,620000.0,S,Morrison,16/09/2017,16.2,3094.0,2.0,1.0,1.0,,,1990.0,Banyule City Council,-37.71546,145.12,Eastern Metropolitan,3891.0
97,Reservoir,2/91 Thackeray Rd,3,h,660000.0,VB,Jellis,3/03/2018,12.0,3073.0,,,,,,,Darebin City Council,,,Northern Metropolitan,21650.0
98,Balwyn North,10 Tower Rd,3,h,2110000.0,S,Jellis,14/10/2017,9.7,3104.0,3.0,1.0,2.0,713.0,,,Boroondara City Council,-37.80121,145.07786000000004,Southern Metropolitan,7809.0
99,Richmond,64 Buckingham St,3,h,1850000.0,VB,Jellis,3/03/2018,2.4,3121.0,3.0,2.0,2.0,344.0,,,Yarra City Council,-37.81411,145.00321,Northern Metropolitan,14949.0
100,Ivanhoe,1/19 Dudley St,2,u,910000.0,S,Miles,9/12/2017,7.8,3079.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,5549.0
101,Clayton South,125 Bourke Rd,3,h,820000.0,S,C21,17/03/2018,17.5,3169.0,3.0,1.0,1.0,533.0,,,Kingston City Council,-37.94183,145.1087,South-Eastern Metropolitan,4734.0
102,Rosanna,1/8 Stokes St,3,h,867000.0,SP,Nelson,25/02/2017,11.4,3084.0,3.0,1.0,1.0,355.0,51.0,1960.0,Banyule City Council,-37.7352,145.0713,Eastern Metropolitan,3540.0
103,Brunswick,9 First Av,3,h,1260000.0,S,Jellis,22/07/2017,5.2,3056.0,3.0,2.0,1.0,470.0,,,Moreland City Council,-37.7556,144.95729,Northern Metropolitan,11918.0
104,Hawthorn,14/181 Power St,2,u,525000.0,PI,Walshe,17/06/2017,5.3,3122.0,2.0,1.0,1.0,0.0,,,Boroondara City Council,-37.827,145.02563,Southern Metropolitan,11308.0
105,Westmeadows,124 Raleigh St,5,h,560000.0,S,Raine,27/05/2017,16.5,3049.0,5.0,2.0,2.0,626.0,,,Hume City Council,-37.67688,144.88996,Northern Metropolitan,2474.0
106,Fitzroy North,70 Park St,4,h,1785000.0,S,Nelson,14/05/2016,3.5,3068.0,4.0,2.0,1.0,188.0,165.0,1900.0,Moreland City Council,-37.7815,144.9869,Northern Metropolitan,6244.0
107,Flemington,15 Clarence St,3,h,885000.0,S,Nelson,13/08/2016,4.4,3031.0,3.0,1.0,0.0,162.0,,,Melbourne City Council,-37.7869,144.9253,Northern Metropolitan,3593.0
108,Ivanhoe,46 Melcombe Rd,4,h,1355000.0,S,Woodards,21/10/2017,7.8,3079.0,4.0,2.0,2.0,,150.0,1935.0,Banyule City Council,-37.759,145.04873999999995,Eastern Metropolitan,5549.0
109,South Melbourne,72 Smith St,3,h,1595000.0,SP,Marshall,7/05/2016,2.1,3205.0,3.0,2.0,0.0,171.0,126.0,1890.0,Port Phillip City Council,-37.8391,144.9501,Southern Metropolitan,5943.0
110,Williamstown,13/8 The Strand,2,t,830000.0,SP,Greg,7/11/2016,8.0,3016.0,2.0,1.0,1.0,84.0,110.0,1980.0,Hobsons Bay City Council,-37.8581,144.9015,Western Metropolitan,6380.0
111,St Albans,25 Bent St,3,h,475000.0,S,Barry,17/03/2018,14.0,3021.0,3.0,1.0,1.0,478.0,103.0,1968.0,Brimbank City Council,-37.75501,144.80459,Western Metropolitan,14042.0
112,Blackburn North,28 Diana Dr,3,h,1150000.0,S,Noel,10/03/2018,13.4,3130.0,3.0,1.0,1.0,653.0,,,Whitehorse City Council,-37.81,145.16294,Eastern Metropolitan,2867.0
113,Richmond,11 Judd St,2,h,1250000.0,SP,Biggin,21/10/2017,2.4,3121.0,2.0,2.0,2.0,,124.0,2010.0,Yarra City Council,-37.81673,144.99549,Northern Metropolitan,14949.0
114,Brunswick,73 Mitchell St,2,h,890000.0,VB,Woodards,17/06/2017,5.2,3056.0,2.0,1.0,0.0,138.0,78.0,1910.0,Moreland City Council,-37.75908,144.96969,Northern Metropolitan,11918.0
115,Reservoir,2/3 Kennedy St,3,u,677500.0,PI,Nelson,19/11/2016,11.2,3073.0,,,,,,,Darebin City Council,,,Northern Metropolitan,21650.0
116,Oakleigh,36 Hatter St,3,h,1225000.0,S,Buxton,27/11/2016,14.0,3166.0,3.0,1.0,2.0,528.0,112.0,1930.0,Monash City Council,-37.9066,145.088,Southern Metropolitan,3224.0
117,Heidelberg,13 Hodgson St,3,h,1110000.0,S,Nelson,12/11/2016,10.6,3084.0,3.0,1.0,2.0,600.0,190.0,1950.0,Banyule City Council,-37.752,145.0722,Eastern Metropolitan,2890.0
118,Viewbank,37 Eamon Dr,3,h,770000.0,S,Barry,4/06/2016,13.8,3084.0,3.0,2.0,2.0,577.0,135.0,1970.0,Banyule City Council,-37.7376,145.0895,Eastern Metropolitan,2698.0
119,Brighton,53 Lynch Cr,3,h,2350000.0,VB,Hodges,6/01/2018,10.5,3186.0,3.0,2.0,1.0,688.0,,,Bayside City Council,-37.92124,144.99822,Southern Metropolitan,10579.0
120,Albert Park,2 Dundas Pl,3,h,2615000.0,S,Cayzer,10/12/2016,3.3,3206.0,3.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan,3280.0
121,Kingsville,4 Kingsville St,2,h,816000.0,S,Village,7/05/2016,7.8,3012.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,1808.0
122,Lalor,11 Delmare St,3,h,700000.0,S,HAR,19/08/2017,16.3,3075.0,3.0,1.0,1.0,537.0,103.0,1975.0,Whittlesea City Council,-37.66958,145.02941,Northern Metropolitan,8279.0
123,Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,12/06/2016,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip City Council,-37.8451,144.9511,Southern Metropolitan,3280.0
124,Essendon,60 Elder Pde,2,h,950000.0,VB,Brad,24/02/2018,7.5,3040.0,2.0,1.0,,291.0,,,Moonee Valley City Council,-37.75145,144.90793,Western Metropolitan,9264.0
125,Craigieburn,3 Eminence Wy,4,h,616000.0,S,Barry,18/11/2017,20.6,3064.0,4.0,2.0,2.0,538.0,179.0,2010.0,Hume City Council,-37.576,144.912,Northern Metropolitan,15510.0
126,Ormond,1/33 Leila Rd,2,u,630000.0,S,Buxton,11/11/2017,11.4,3204.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,3578.0
127,Narre Warren,28 Murdoch Av,3,h,580000.0,SP,O'Brien,1/07/2017,34.1,3805.0,,,,,,,Casey City Council,,,South-Eastern Metropolitan,9376.0
128,Canterbury,20 Wentworth Av,5,h,2750000.0,VB,Jellis,28/05/2016,9.0,3126.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,3265.0
129,Reservoir,1 Don St,4,h,1112000.0,S,RW,26/08/2017,12.0,3073.0,4.0,2.0,10.0,1002.0,170.0,1985.0,Darebin City Council,-37.70671,145.03086000000005,Northern Metropolitan,21650.0
130,Port Melbourne,107 Stokes St,4,h,2450000.0,VB,Lucas,1/07/2017,3.5,3207.0,4.0,3.0,2.0,210.0,210.0,2010.0,Melbourne City Council,-37.83933,144.93771,Southern Metropolitan,8648.0
131,Coburg,124 Ohea St,3,h,770000.0,PI,Raine,27/06/2016,7.8,3058.0,4.0,1.0,2.0,408.0,,1970.0,Darebin City Council,-37.7366,144.9564,Northern Metropolitan,11204.0
132,Yarraville,25 Gray St,4,h,706000.0,S,Jas,4/06/2016,7.0,3013.0,2.0,1.0,0.0,165.0,93.0,1900.0,Maribyrnong City Council,-37.819,144.895,Western Metropolitan,6543.0
133,Glenroy,91 Gowrie St,3,h,822000.0,S,Barry,13/05/2017,13.0,3046.0,3.0,1.0,2.0,738.0,107.4,1960.0,Moreland City Council,-37.6972,144.941,Northern Metropolitan,8870.0
134,Hawthorn,36 College St,2,h,2265000.0,S,Morrison,18/03/2017,4.6,3122.0,2.0,1.0,1.0,460.0,,,Boroondara City Council,-37.8173,145.0248,Southern Metropolitan,11308.0
135,Balaclava,6/51 Gourlay St,2,u,515000.0,SP,Buxton,24/02/2018,6.4,3183.0,,,,,,,Port Phillip City Council,,,Southern Metropolitan,2952.0
